id,event_name,event_image,event_date_time,event_link
11,One direction,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101257944%2F444806640466%2F1%2Foriginal.20200518-173139?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C35%2C1440%2C720&s=1c221f76ee77122ef2cf72e2f8933791,"Mon, Jun 1, 2020 12:00 PM MDT",https://www.eventbrite.com/e/one-direction-tickets-105836616168?aff=ebdssbonlinesearch
12,QUARANTINGO! Virtual Music Bingo w/ Pour Entertainment,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98300940%2F307892959837%2F1%2Foriginal.20200408-203009?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C12%2C1080%2C540&s=2a0e87d5e72bb48631a350126b0d772f,"Sun, Jun 7, 2020 12:00 PM MDT + 3 more events",https://www.eventbrite.com/e/quarantingo-virtual-music-bingo-w-pour-entertainment-tickets-102295448440?aff=ebdssbonlinesearch
13,BRITISH DREAM FESTIVAL,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102143628%2F448335275208%2F1%2Foriginal.20200529-030807?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C16%2C560%2C280&s=c1abb5631618f9e5283a0157d5ef9402,"Fri, Jun 12, 2020 6:30 PM MDT",https://www.eventbrite.com/e/british-dream-festival-tickets-106428241736?aff=ebdssbonlinesearch
14,Harry Styles tour at home,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101085310%2F440834339650%2F1%2Foriginal.20200515-164221?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=d06be91d5837cef41119729e8f37f8a3,"Mon, Jun 8, 2020 3:00 PM MDT",https://www.eventbrite.com/e/harry-styles-tour-at-home-tickets-104531829516?aff=ebdssbonlinesearch
15,Purpose Tour Virtual Concert,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102004636%2F447263071958%2F1%2Foriginal.20200527-185435?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C500%2C3958%2C1979&s=653a1f9b6ac79f4b4b4e1758727e68f5,"Sat, Jun 6, 2020 2:00 PM MDT",https://www.eventbrite.com/e/purpose-tour-virtual-concert-tickets-105545571646?aff=ebdssbonlinesearch
16,Jorge Blanco home concert,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101163992%2F447173388538%2F1%2Foriginal.20200517-004456?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C627%2C828%2C414&s=781105e8f4c46675451faea2eded08aa,"Sun, Jun 7, 2020 11:00 AM MDT",https://www.eventbrite.com.mx/e/jorge-blanco-home-concert-tickets-105721259132?aff=ebdssbonlinesearch
17,Why Don’t We Online Concert !!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100979578%2F444781197604%2F1%2Foriginal.20200514-153003?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=78486f19a5d244dc7ee16373c0bfa1c1,"Tue, Jun 2, 2020 1:00 PM MDT",https://www.eventbrite.com/e/why-dont-we-online-concert-tickets-105668294714?aff=ebdssbonlinesearch
18,One Direction at home - June 6th 8pm-10pm uk time,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100822806%2F446328596098%2F1%2Foriginal.20200512-232858?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C22%2C720%2C360&s=7d154e6f55cceb161ccddcb7191fb30e,"Sat, Jun 6, 2020 1:00 PM MDT",https://www.eventbrite.co.uk/e/one-direction-at-home-june-6th-8pm-10pm-uk-time-tickets-105409127538?aff=ebdssbonlinesearch
19,No Shame OnLine Tour,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101884850%2F110594239227%2F1%2Foriginal.20200526-162548?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=5%2C0%2C2160%2C1080&s=834d127ade0976a35af53b7414d27762,"Fri, Jun 12, 2020 1:00 PM MDT + 1 more event",https://www.eventbrite.co.uk/e/no-shame-online-tour-tickets-105185641084?aff=ebdssbonlinesearch
20,One direction Edits ,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101155988%2F3358207041%2F1%2Foriginal.20200516-200810?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=1477fdd84d77c3f30f11d35b3e4e8bd0,"Fri, Jun 12, 2020 12:00 PM MDT",https://www.eventbrite.com/e/one-direction-edits-tickets-104531733228?aff=ebdssbonlinesearch
21,"Virtual Emo Night: For Fans of Taking Back Sunday, American Football, Blink",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101162644%2F3358207041%2F1%2Foriginal.20200516-234622?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=251e37fd50a33c5c488bcaacc1e2e97e,"Mon, Jun 1, 2020 7:30 PM MDT + 14 more events",https://www.eventbrite.com/e/virtual-emo-night-for-fans-of-taking-back-sunday-american-football-blink-tickets-103715622218?aff=ebdssbonlinesearch
22,"Virtual Post Punk Night: For Fans of The Strokes, Joy Division",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101717152%2F444637416130%2F1%2Foriginal.20200524-033233?w=300&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C300%2C150&s=1b22c45c4b5d957bcad25961bea232c4,"Wed, Jun 3, 2020 6:00 PM MDT + 22 more events",https://www.eventbrite.com/e/virtual-post-punk-night-for-fans-of-the-strokes-joy-division-tickets-101923086696?aff=ebdssbonlinesearch
23,Up All Night Experience,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101069358%2F444742887296%2F1%2Foriginal.20200515-135305?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C82%2C1024%2C512&s=131ef07e9fa4708b4d9f0eade126b50c,"Sat, Jun 6, 2020 11:00 AM MDT",https://www.eventbrite.co.uk/e/up-all-night-experience-tickets-106528002122?aff=ebdssbonlinesearch
24,ZAYN TOUR,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98605950%2F207366153767%2F1%2Foriginal.20200413-210926?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=897214ba9030be27ffd4007327984798,"Tue, Jun 16, 2020 10:00 AM MDT",https://www.eventbrite.co.uk/e/zayn-tour-tickets-105529629964?aff=ebdssbonlinesearch
25,DJ Kevin's House Party,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101622270%2F448228980316%2F1%2Foriginal.20200522-143843?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=450%2C6%2C1256%2C628&s=34961344bde76addcbd0352de317a841,"Tue, Jun 2, 2020 7:00 PM MDT + 7 more events",https://www.eventbrite.ca/e/dj-kevins-house-party-tickets-102622817610?aff=ebdssbonlinesearch
26,#OnTourWithLouis,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100360008%2F445130481596%2F1%2Foriginal.20200506-190601?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C338%2C1242%2C621&s=4676a4cbe25cc012f61c148a118b284a,"Sat, Jun 6, 2020 2:00 PM MDT",https://www.eventbrite.it/e/ontourwithlouis-tickets-106394059496?aff=ebdssbonlinesearch
27,AERIAL FEST,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101487362%2F447722086726%2F1%2Foriginal.20200520-235721?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C9%2C1200%2C600&s=3852060498cd06343412ed331a7f13f1,"Wed, Jun 3, 2020 6:00 PM MDT",https://www.eventbrite.com/e/aerial-fest-tickets-104562982696?aff=ebdssbonlinesearch
28,APM Music Masterclass Webinar Series: Indemnification 101,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98970954%2F16299566841%2F1%2Foriginal.20200418-053334?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C96%2C1600%2C800&s=22d884332b6f497b9942995a136c6ba5,"Tue, Jun 9, 2020 12:00 PM MDT",https://www.eventbrite.com/e/apm-music-masterclass-webinar-series-indemnification-101-registration-106169864924?aff=ebdssbonlinesearch
29,Decentralized Dance Party- Virtual Edition!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100404130%2F445254767550%2F1%2Foriginal.20200507-081426?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=154%2C0%2C1200%2C600&s=86baa842b17212d1df669e951ffc64c0,"Sat, Jun 6, 2020 6:00 PM MDT + 16 more events",https://www.eventbrite.com/e/decentralized-dance-party-virtual-edition-tickets-103023213204?aff=ebdssbonlinesearch
30,NF the virtual tour,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102350638%2F296570363614%2F1%2Foriginal.20200601-133053?w=400&auto=format%2Ccompress&q=75&sharp=10&s=879944ea13dab61797081ad4d755745a,"Fri, Jun 12, 2020 2:00 PM MDT",https://www.eventbrite.com/e/nf-the-virtual-tour-tickets-104619690310?aff=ebdssbonlinesearch
31,Sound Off™ Live: Dueling Piano Power Hour (6/5),https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100541266%2F98559249917%2F1%2Foriginal.20200508-185433?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C7%2C640%2C320&s=47bda0c190e998a292152d2ec5192c69,"Fri, Jun 5, 2020 8:00 PM MDT",https://www.eventbrite.com/e/sound-offtm-live-dueling-piano-power-hour-65-tickets-106445350910?aff=ebdssbonlinesearch
32,Live Stream: The Get Right Mixshow w / DJ Rock Most,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100924582%2F445462650616%2F1%2Foriginal.20200513-233949?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C427%2C730%2C365&s=8b2b6842bc035e8a6261a6eb64a01e8c,"Fri, Jun 5, 2020 8:00 PM MDT",https://www.eventbrite.com/e/live-stream-the-get-right-mixshow-w-dj-rock-most-tickets-102321237576?aff=ebdssbonlinesearch
33,Why Don’t We just Chill,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102113032%2F434236938870%2F1%2Foriginal.20200528-193406?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C200%2C800%2C400&s=89f661c2f13706724e74f866a4818291,"Sat, Jun 20, 2020 2:30 PM MDT",https://www.eventbrite.com/e/why-dont-we-just-chill-tickets-105321246684?aff=ebdssbonlinesearch
34,Rescue,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101445834%2F365760079899%2F1%2Foriginal.20200520-155801?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1920%2C960&s=49fc4c3624ed1463dcf23f70d0952f47,"Sat, Jun 13, 2020 4:00 PM MDT",https://www.eventbrite.com/e/rescue-tickets-106770595726?aff=ebdssbonlinesearch
35,In Session: Using SoundExchange to maximize artist revenue w/ Wade Metzler,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101362432%2F143005536192%2F1%2Foriginal.20200519-181715?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C34%2C582%2C291&s=db65fa42ecf68fef187ea0d13eb8d4b3,"Thu, Jun 25, 2020 11:00 AM MDT",https://www.eventbrite.com/e/in-session-using-soundexchange-to-maximize-artist-revenue-w-wade-metzler-tickets-104784515306?aff=ebdssbonlinesearch
36,GIRLS NIGHT IN SHOWCASE,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101123642%2F445462169270%2F1%2Foriginal.20200516-021150?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C934%2C828%2C414&s=601ac87ab3449de200e89b2173c1cb4b,"Sun, Jun 14, 2020 10:00 AM MDT",https://www.eventbrite.co.uk/e/girls-night-in-showcase-tickets-105015084946?aff=ebdssbonlinesearch
37,Why Dont We Online Concert,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102194564%2F221960430556%2F1%2Foriginal.20200529-180006?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C312%2C1080%2C540&s=01c027fa84dfdb99ad62832c3aaec679,"Thu, Jun 18, 2020 8:00 PM MDT",https://www.eventbrite.co.uk/e/why-dont-we-online-concert-tickets-105612401536?aff=ebdssbonlinesearch
38,Louisville Voices Virtual Party,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100550556%2F3358207041%2F1%2Foriginal.20200508-205729?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=0a7ea9ca424ad6de502bfe3097dc895f,"Fri, Jun 12, 2020 1:00 PM MDT",https://www.eventbrite.ca/e/louisville-voices-virtual-party-tickets-107253576334?aff=ebdssbonlinesearch
39,One direction virtual concert !!!!!!!!!!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98683864%2F6319564445%2F1%2Foriginal.20200414-174811?w=342&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C66%2C342%2C171&s=d5d2cd81456863fee9b6cd1e9f45a776,"Wed, Jun 10, 2020 1:00 PM MDT",https://www.eventbrite.co.uk/e/one-direction-virtual-concert-tickets-105014242426?aff=ebdssbonlinesearch
40,Online Reggae Radio,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101445504%2F365760079899%2F1%2Foriginal.20200520-155507?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1920%2C960&s=193093307718da5f30584e2960025ed4,"Mon, Jun 1, 2020 9:00 AM MDT + 85 more events",https://www.eventbrite.com/e/online-reggae-radio-tickets-102708140814?aff=ebdssbonlinesearch
41,In Session: Creative reverb techniques,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101583766%2F447962888622%2F1%2Foriginal.20200522-012910?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=9a0ed6d48bd109e78c52da2da999c96f,"Thu, Jun 18, 2020 11:00 AM MDT",https://www.eventbrite.com/e/in-session-creative-reverb-techniques-tickets-104783747008?aff=ebdssbonlinesearch
42,Positivity from Home (Why Don’t We ft. EBEN),https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101941112%2F350051423679%2F1%2Foriginal.20200527-040422?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C57%2C1078%2C539&s=e0fe804bac089890019fc27bb5ba17be,"Sat, Jun 13, 2020 12:00 PM MDT",https://www.eventbrite.com/e/positivity-from-home-why-dont-we-ft-eben-tickets-106142294460?aff=ebdssbonlinesearch
43,Webinar: Educating the Future Singer Post-COVID19,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101568654%2F16611483077%2F1%2Foriginal.20200521-211425?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C7%2C600%2C300&s=dde4a53b5556f92a68693da4abb18418,"Fri, Jun 5, 2020 1:30 PM MDT",https://www.eventbrite.com/e/webinar-educating-the-future-singer-post-covid19-tickets-106874432304?aff=ebdssbonlinesearch
44,S.A.C. Master Class Series with Rob Wells,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98970708%2F27019170457%2F1%2Foriginal.20200418-053522?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C34%2C1080%2C540&s=c8ad4e3a5fd85c7031cdf2595f7dc80c,"Tue, Jun 9, 2020 2:00 PM MDT + 3 more events",https://www.eventbrite.ca/e/sac-master-class-series-with-rob-wells-tickets-106242345716?aff=ebdssbonlinesearch
45,Michael Jackson: Celebration of Life,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101980520%2F1462656423%2F1%2Foriginal.20200527-151400?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1414%2C707&s=59daab4fabdf7244f59a1c85d9212011,"Thu, Jun 25, 2020 3:00 PM MDT",https://www.eventbrite.com/e/michael-jackson-celebration-of-life-tickets-103022252330?aff=ebdssbonlinesearch
46,"PARTY, MAN!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101997830%2F115036390131%2F1%2Foriginal.20200527-175019?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C600%2C300&s=5700632f8ac3922ecfdfd932f7a4c063,"Sun, Jun 7, 2020 11:00 AM MDT",https://www.eventbrite.com/e/party-man-tickets-106872622892?aff=ebdssbonlinesearch
47,SCL Online Screening + Q&A: HOLLYWOOD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98239422%2F438861783742%2F1%2Foriginal.20200408-025956?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C49%2C2048%2C1024&s=84715274f726b518b1790fb8c0840dde,"Thu, Jun 18, 2020 2:00 PM MDT",https://www.eventbrite.com/e/scl-online-screening-qa-hollywood-tickets-106970036258?aff=ebdssbonlinesearch
48,DJ Miyuki Trance Livestream,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101957742%2F21117361976%2F1%2Foriginal.20200527-102429?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C700%2C350&s=45e260c10ffd5b49d01f440afcfcef7e,"Fri, Jun 5, 2020 9:00 PM MDT + 89 more events",https://www.eventbrite.com/e/dj-miyuki-trance-livestream-tickets-102227003720?aff=ebdssbonlinesearch
49,The George Enescu Series' Wall of Goodwill Concert,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102188726%2F115036390131%2F1%2Foriginal.20200529-165416?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C600%2C300&s=315afb305a78a5b8a72f91fe43bc7e37,"Thu, Jun 4, 2020 12:00 PM MDT",https://www.eventbrite.com/e/the-george-enescu-series-wall-of-goodwill-concert-tickets-106908257476?aff=ebdssbonlinesearch
50,SCL Online Screenings + Q&A: SHAPING THE CONTEMPORARY SCORE [LA ONLINE],https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100563718%2F3358207041%2F1%2Foriginal.20200509-021157?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=86bfdb47136539eec4c30a4bddf3e4da,"Wed, Jun 3, 2020 7:30 PM MDT",https://www.eventbrite.com/e/scl-online-screenings-qa-shaping-the-contemporary-score-la-online-tickets-107245542304?aff=ebdssbonlinesearch
51,Virtual DJ Sessions: Dance & Chill From Home,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F98359240%2F439418247914%2F1%2Foriginal.20200409-161449?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C125%2C2500%2C1250&s=8554a93ac59762579047132d3e749124,"Fri, Jun 5, 2020 6:00 PM MDT + 22 more events",https://www.eventbrite.com/e/virtual-dj-sessions-dance-chill-from-home-tickets-102437882464?aff=ebdssbonlinesearch
52,Stuck at Home - The Online Concert Series,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102393848%2F395246506091%2F1%2Foriginal.20200601-203229?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C110%2C1920%2C960&s=eb8251dcf76280af2fe4d53c471ba7ac,"Wed, Jun 3, 2020 5:00 PM MDT + 3 more events",https://www.eventbrite.com/e/stuck-at-home-the-online-concert-series-tickets-102363738698?aff=ebdssbonlinesearch
53,"Ensálsate, Salsa and Panela Colombian Salsa Live lessons",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F100542638%2F32402242021%2F1%2Foriginal.20200324-141734?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=1b02abdf8739d56a978cbf528f020bf3,"Thu, Jun 4, 2020 4:00 PM MDT",https://www.eventbrite.com/e/ensalsate-salsa-and-panela-colombian-salsa-live-lessons-tickets-105279345356?aff=ebdssbonlinesearch
54,Virtual Tuesday Night Record Club - Alanis Morissette: Jagged Little Pill,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F99041292%2F314385180474%2F1%2Foriginal.20200420-012037?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C587%2C4032%2C2016&s=a37ff6f6e6c4bb9f323bfbc828eedcdd,"Tue, Jun 2, 2020 5:30 PM MDT",https://www.eventbrite.com/e/virtual-tuesday-night-record-club-alanis-morissette-jagged-little-pill-tickets-104791682744?aff=ebdssbonlinesearch
55,The 808 Experience: Online Music Industry Networking Event,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102216394%2F115036390131%2F1%2Foriginal.20200529-213303?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C600%2C300&s=e84da9db8dd20c027caa6503b19f56be,"Sat, Jun 6, 2020 12:00 PM MDT + 5 more events",https://www.eventbrite.com/e/the-808-experience-online-music-industry-networking-event-tickets-103102616702?aff=ebdssbonlinesearch
56,SCL Online Screening + Q&A: MRS. AMERICA,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F102146900%2F2351154677%2F1%2Foriginal.20200529-044043?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=ae8604ee528a30e476b0b5b01718ac72,"Thu, Jun 4, 2020 1:00 PM MDT",https://www.eventbrite.com/e/scl-online-screening-qa-mrs-america-tickets-107014585506?aff=ebdssbonlinesearch
57,Conversations About Jazz and Other Distractions with Carl Anthony,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101183202%2F443370555752%2F1%2Foriginal.20200517-164119?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=3c626ebcb48d10b1a0b0dbea51d83f49,"Thu, Jun 25, 2020 5:30 PM MDT + 13 more events",https://www.eventbrite.com/e/conversations-about-jazz-and-other-distractions-with-carl-anthony-tickets-107173077560?aff=ebdssbonlinesearch
58,Gaelynn Lea LIVE-STREAM Concerts: Sunday Afternoon Performances on  YouTube,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F99533156%2F159320882723%2F1%2Foriginal.20200426-173724?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1920%2C960&s=fc56f1e970b36612fd74390c8fab5b6c,"Sun, Jun 7, 2020 1:00 PM MDT + 3 more events",https://www.eventbrite.com/e/gaelynn-lea-live-stream-concerts-sunday-afternoon-performances-on-youtube-tickets-103633789454?aff=ebdssbonlinesearch
